"Bounds Green","http://www.doogal.co.uk/StationMap.php?station=Bounds%20Green","51.607032","-0.124163","3,4"
"Bow Church","http://www.doogal.co.uk/StationMap.php?station=Bow%20Church","51.527615","-0.020485","2"
"Bow Road","http://www.doogal.co.uk/StationMap.php?station=Bow%20Road","51.527042","-0.024345","2"
"Bowes Park","http://www.doogal.co.uk/StationMap.php?station=Bowes%20Park","51.60725","-0.119778","3,4"
"Brent Cross","http://www.doogal.co.uk/StationMap.php?station=Brent%20Cross","51.576599","-0.213321","3"
"Brentford","http://www.doogal.co.uk/StationMap.php?station=Brentford","51.487536","-0.309608","4"
"Brentwood","http://www.doogal.co.uk/StationMap.php?station=Brentwood","51.61361","0.299687","7"
"Brimsdown","http://www.doogal.co.uk/StationMap.php?station=Brimsdown","51.655245","-0.031078","5"
"Brixton","http://www.doogal.co.uk/StationMap.php?station=Brixton","51.462737","-0.114538","2"
"Brockley","http://www.doogal.co.uk/StationMap.php?station=Brockley","51.46475","-0.037734","2"
"Bromley North","http://www.doogal.co.uk/StationMap.php?station=Bromley%20North","51.408942","0.01725","4"
"Bromley South","http://www.doogal.co.uk/StationMap.php?station=Bromley%20South","51.400001","0.017374","5"
"Bromley-by-Bow","http://www.doogal.co.uk/StationMap.php?station=Bromley-by-Bow","51.52484","-0.011668","2,3"
"Brondesbury","http://www.doogal.co.uk/StationMap.php?station=Brondesbury","51.545262","-0.202824","2"
"Brondesbury Park","http://www.doogal.co.uk/StationMap.php?station=Brondesbury%20Park","51.540325","-0.21046","2"
"Broxbourne","http://www.doogal.co.uk/StationMap.php?station=Broxbourne","51.747016","-0.01101","9"
"Bruce Grove","http://www.doogal.co.uk/StationMap.php?station=Bruce%20Grove","51.594011","-0.070385","3"
"Buckhurst Hill","http://www.doogal.co.uk/StationMap.php?station=Buckhurst%20Hill","51.626577","0.046727","5"
"Burnt Oak","http://www.doogal.co.uk/StationMap.php?station=Burnt%20Oak","51.602552","-0.264316","4"
"Bush Hill Park","http://www.doogal.co.uk/StationMap.php?station=Bush%20Hill%20Park","51.641482","-0.069266","5"
"Bushey","http://www.doogal.co.uk/StationMap.php?station=Bushey","51.645544","-0.384707","8"
